team_name,opponent_name,team_city,opponent_city,distance
Famalicao,Sporting CP,Famalicão,Lisbon,304
Farense,Arouca,Faro,Arouca,437
Farense,Aves,Faro,Vila das Aves,486
Farense,Estoril,Faro,Estoril,228
Farense,Estrela Vendas Novas,Faro,Vendas Novas,191
Farense,Leixoes,Faro,Matosinhos,469
Fazendense,1º Dezembro,Fazendas de Almeirim,Sintra,81
Fazendense,Caldas,Fazendas de Almeirim,Caldas da Rainha,54
Feirense,Academica,Santa Maria da Feira,Coimbra,80
Feirense,Amora,Santa Maria da Feira,Amora,260
Feirense,Nacional,Santa Maria da Feira,Funchal,1182
Feirense,Sporting CP,Santa Maria da Feira,Lisbon,252
Feirense,Tondela,Santa Maria da Feira,Tondela,60
Felgueiras 1932,Arouca,Felgueiras,Arouca,30
Felgueiras 1932,Aves,Felgueiras,Vila das Aves,52
Felgueiras 1932,Chaves,Felgueiras,Chaves,79
Felgueiras 1932,Estoril,Felgueiras,Estoril,290
Felgueiras 1932,Joane,Felgueiras,Famalicão,58
Felgueiras 1932,Machico,Felgueiras,Machico,1214
Felgueiras 1932,Mondinense,Felgueiras,Mondim de Basto,38
Felgueiras 1932,Os Limianos,Felgueiras,Ponte de Lima,95
Felgueiras 1932,Pedras Salgadas,Felgueiras,Pedras Salgadas,60
Felgueiras 1932,SC Braga,Felgueiras,Braga,69
Felgueiras 1932,Tondela,Felgueiras,Tondela,63
Felgueiras 1932,Valadares Gaia,Felgueiras,Vila Nova de Gaia,59
Felgueiras 1932,Vila Flor,Felgueiras,Vila Flor,73
Ferreira de Aves,Academico Viseu,Sátão,Viseu,26
Ferreira de Aves,Cesarense,Sátão,Oliveira de Azeméis,66
Ferreira de Aves,Sanjoanense,Sátão,São João da Madeira,71
Ferreiras,Culatrense,Albufeira,Faro,39
Ferreiras,Estrela,Albufeira,Amadora,198
Ferreiras,Lusitano GC Évora,Albufeira,Évora,162
Ferreiras,Moura,Albufeira,Moura,134
Ferreiras,Penedo Gordo,Albufeira,Beja,100
Flamengos,Fontinhas,Horta,Praia da Vitória,136
Flamengos,Oriental Lisboa,Horta,Lisbon,1696
Florgrade,Beira-Mar,,Aveiro,7741
Fontinhas,Arouca,Praia da Vitória,Arouca,1630
Fontinhas,Mafra,Praia da Vitória,Mafra,1545
Fontinhas,Pinhalnovense,Praia da Vitória,Pinhal Novo,1580
