team_name,opponent_name,Distance,distance
RB Leipzig,1899 Hoffenheim,,
RB Leipzig,Bayern Munich,,
RB Leipzig,Borussia Dortmund,,
RB Leipzig,Erzgebirge AUE,,
RB Leipzig,FC Augsburg,,
RB Leipzig,Hansa Rostock,,
RB Leipzig,SC Paderborn 07,,
RB Leipzig,Union Berlin,,
RB Leipzig,VfL Wolfsburg,,
RB Leipzig,Vfl Bochum,,
Reutlingen,Eintracht Braunschweig,,
Reutlingen,Karlsruher SC,,
Rostocker FC,FC Heidenheim,,
Rot Weiss Ahlen,SC Paderborn 07,,
Rot-weiss Erfurt,1899 Hoffenheim,,
Rot-weiss Essen,Arminia Bielefeld,,
Rot-weiss Essen,Bayer Leverkusen,,
Rot-weiss Essen,Borussia Monchengladbach,,
Rot-weiss Essen,Fortuna Dusseldorf,,
Rot-weiss Essen,Hamburger SV,,
Rot-weiss Essen,Hertha Berlin,,
Rot-weiss Essen,Holstein Kiel,,
Rot-weiss Essen,Union Berlin,,
Rot-weiss Oberhausen,FC Augsburg,,
Rot-weiss Oberhausen,SV Sandhausen,,
Roßbach / Verscheid,FSV Mainz 05,,
SC Freiburg,1.FC Köln,,
SC Freiburg,Bayer Leverkusen,,
SC Freiburg,Dynamo Dresden,,
SC Freiburg,FC Augsburg,,
SC Freiburg,FC St. Pauli,,
SC Freiburg,RB Leipzig,,
SC Freiburg,SC Paderborn 07,,
SC Freiburg,SV Sandhausen,,
SC Freiburg,Union Berlin,,
SC Paderborn 07,Bayern Munich,,
SC Paderborn 07,FC Ingolstadt 04,,
SC Paderborn 07,FC St. Pauli,,
SC Paderborn 07,Hamburger SV,,
SC Paderborn 07,SV Sandhausen,,
SC Paderborn 07,VfB Stuttgart,,
SC Paderborn 07,Vfl Bochum,,
SC Paderborn 07,Werder Bremen,,
SF Baumberg,FC Ingolstadt 04,,
SG Sonnenhof Grossaspach,FSV Frankfurt,,
SG Wattenscheid 09,FC Heidenheim,,
SSV Jeddeloh,FC Heidenheim,,
SSV ULM 1846,Eintracht Frankfurt,,
SSV ULM 1846,Erzgebirge AUE,,
SSV ULM 1846,FC Heidenheim,,
SSV ULM 1846,FC Nurnberg,,
SSV ULM 1846,FC Schalke 04,,
SSV ULM 1846,Fortuna Dusseldorf,,
SV Babelsberg 03,MSV Duisburg,,
SV Babelsberg 03,RB Leipzig,,
SV Babelsberg 03,SC Freiburg,,
SV Babelsberg 03,SpVgg Greuther Furth,,
SV Darmstadt 98,Borussia Monchengladbach,,
SV Darmstadt 98,FC Schalke 04,,
SV Darmstadt 98,Hannover 96,,
SV Darmstadt 98,Hertha Berlin,,
SV Darmstadt 98,Karlsruher SC,,
SV Darmstadt 98,VfL Wolfsburg,,
SV Drochtersen/assel,Bayern Munich,,
SV Drochtersen/assel,Borussia Monchengladbach,,
SV Drochtersen/assel,FC Schalke 04,,
SV Eichede,FC Kaiserslautern,,
SV Elversberg,Bayer Leverkusen,,
SV Elversberg,Borussia Monchengladbach,,
SV Elversberg,FC Augsburg,,
SV Elversberg,FC St. Pauli,,
SV Elversberg,FSV Mainz 05,,
SV Elversberg,VfL Wolfsburg,,
SV Elversberg,Vfl Bochum,,
SV Linx,FC Nurnberg,,
SV Meppen,1.FC Köln,,
SV Meppen,Hertha Berlin,,
SV Rodinghausen,1899 Hoffenheim,,
SV Rodinghausen,Bayern Munich,,
SV Rodinghausen,Dynamo Dresden,,
