team_name,opponent_name,team_city,opponent_city,distance
SC Genemuiden,De Treffers,Genemuiden,Groesbeek,95
SDC Putten,PSV Eindhoven,Putten,Eindhoven,91
SVV Scheveningen,Ajax,The Hague,Amsterdam,53
SVV Scheveningen,Cambuur,The Hague,Leeuwarden,161
Spakenburg,ASWH,Bunschoten-Spakenburg,Hendrik-Ido-Ambacht,69
Spakenburg,DFS,Bunschoten-Spakenburg,Opheusden,40
Spakenburg,Dordrecht,Bunschoten-Spakenburg,Dordrecht,70
Spakenburg,Katwijk,Bunschoten-Spakenburg,Katwijk,66
Spakenburg,PSV Eindhoven,Bunschoten-Spakenburg,Eindhoven,92
Spakenburg,TEC,Bunschoten-Spakenburg,Tiel,41
Sparta Nijkerk,ADO Den Haag,Nijkerk,The Hague,78
Sparta Nijkerk,FC Eindhoven,Nijkerk,Eindhoven,87
Sparta Nijkerk,Fortuna Wormerveer,Nijkerk,Wormerveer,57
Sparta Nijkerk,NAC Breda,Nijkerk,Breda,87
Sparta Rotterdam,FC Volendam,Rotterdam,Volendam,77
Sparta Rotterdam,PSV Eindhoven,Rotterdam,Eindhoven,90
Sportlust '46,Utrecht,Woerden,Utrecht,17
Staphorst,Gemert,Staphorst,Gemert,126
Staphorst,Koninklijke HFC,Staphorst,Haarlem,112
Staphorst,PEC Zwolle,Staphorst,Zwolle,16
SteDoCo,Utrecht,Hoornaar,Utrecht,27
Telstar,Ajax,Velsen,Amsterdam,25
Telstar,Spakenburg,Velsen,Bunschoten-Spakenburg,55
Twente,Ajax,Enschede,Amsterdam,133
Twente,Cambuur,Enschede,Leeuwarden,127
Twente,De Graafschap,Enschede,Doetinchem,52
Twente,FC Eindhoven,Enschede,Eindhoven,134
Twente,Feyenoord,Enschede,Rotterdam,168
Twente,GO Ahead Eagles,Enschede,Deventer,45
Twente,Noordwijk,Enschede,Noordwijk,166
Twente,Telstar,Enschede,Velsen,155
Twente,Waalwijk,Enschede,Waalwijk,141
Twente,Willem II,Enschede,Tilburg,150
URK,Katwijk,Urk,Katwijk,96
URK,Roda,Urk,Kerkrade,203
URK,Staphorst,Urk,Staphorst,41
Utrecht,ASWH,Utrecht,Hendrik-Ido-Ambacht,43
Utrecht,Ajax,Utrecht,Amsterdam,31
Utrecht,MVV,Utrecht,Maastricht,143
Utrecht,Spakenburg,Utrecht,Bunschoten-Spakenburg,26
VVV Venlo,Den Bosch,Venlo,Den Bosch,70
VVV Venlo,Emmen,Venlo,Emmen,166
VVV Venlo,GO Ahead Eagles,Venlo,Deventer,100
VVV Venlo,Utrecht,Venlo,Utrecht,108
Vitesse,ADO Den Haag,Arnhem,The Hague,99
Vitesse,Ajax,Arnhem,Amsterdam,70
Vitesse,DVS 33 Ermelo,Arnhem,Ermelo,34
Vitesse,De Graafschap,Arnhem,Doetinchem,34
Vitesse,HSV ODIN 59,Arnhem,Heemskerk,96
Vitesse,Sparta Rotterdam,Arnhem,Rotterdam,96
Vitesse,VVV Venlo,Arnhem,Venlo,75
Vv De Meern,PEC Zwolle,De Meern,Zwolle,88
Vvsb,De Graafschap,Noordwijkerhout,Doetinchem,128
Vvsb,Roda,Noordwijkerhout,Kerkrade,188
Vvsb,Telstar,Noordwijkerhout,Velsen,23
